,Current Rank,2010 Rank,State/Territory,2020 Pop.,2010 Pop.,% Pop. Change,Net Change,House Seats,Percent House,Pop. / Electoral Vote,2020 Pop. / Seat,2010 Pop. / Seat,2020 % US Pop.,2010 % US Pop.,% US Pop. Change,% Electoral College
0,1.0,1.0,California,39368078.0,37253956.0,5.7,2114122.0,53.0,12.18,715783.0,742794.0,702905.0,11.82,11.91,-0.09,10.22
1,2.0,2.0,Texas,29360759.0,25145561.0,16.8,4215198.0,36.0,8.28,772652.0,815577.0,698488.0,8.82,8.04,0.78,7.06
2,3.0,4.0,Florida,21733312.0,18801310.0,15.6,2932002.0,27.0,6.21,749425.0,804937.0,696345.0,6.53,6.01,0.52,5.39
3,4.0,3.0,New York,19336776.0,19378102.0,-0.2,-41326.0,27.0,6.21,666785.0,716177.0,717707.0,5.81,6.19,-0.39,5.39
4,5.0,6.0,Pennsylvania,12783254.0,12702379.0,0.6,80875.0,18.0,4.14,639163.0,710181.0,705688.0,3.84,4.06,-0.22,3.72
5,6.0,5.0,Illinois,12587530.0,12830632.0,-1.9,-243102.0,18.0,4.14,629377.0,699307.0,712813.0,3.78,4.1,-0.32,3.72
6,7.0,7.0,Ohio,11693217.0,11536504.0,1.4,156713.0,16.0,3.68,649623.0,730826.0,721032.0,3.51,3.69,-0.18,3.35
7,8.0,9.0,Georgia,10710017.0,9687653.0,10.6,1022364.0,14.0,3.22,669376.0,765001.0,691975.0,3.22,3.1,0.12,2.97
8,9.0,10.0,North Carolina,10600823.0,9535483.0,11.2,1065340.0,13.0,2.99,706722.0,815448.0,733499.0,3.18,3.05,0.13,2.79
9,10.0,8.0,Michigan,9966555.0,9883640.0,0.8,82915.0,14.0,3.22,622910.0,711897.0,705974.0,2.99,3.16,-0.17,2.97
10,11.0,11.0,New Jersey,8882371.0,8791894.0,1.0,90477.0,12.0,2.76,634455.0,740198.0,732658.0,2.67,2.81,-0.14,2.6
11,12.0,12.0,Virginia,8590563.0,8001024.0,7.4,589539.0,11.0,2.53,660813.0,780960.0,727366.0,2.58,2.56,0.02,2.42
12,13.0,13.0,Washington,7693612.0,6724540.0,14.4,969072.0,10.0,2.3,641134.0,769361.0,672454.0,2.31,2.15,0.16,2.23
13,14.0,16.0,Arizona,7421401.0,6392017.0,16.1,1029384.0,9.0,2.07,674673.0,824600.0,710224.0,2.23,2.04,0.19,2.04
14,15.0,14.0,Massachusetts,6893574.0,6547629.0,5.3,345945.0,9.0,2.07,626689.0,765953.0,727514.0,2.07,2.09,-0.02,2.04
15,16.0,17.0,Tennessee,6886834.0,6346105.0,8.5,540729.0,9.0,2.07,626076.0,765204.0,705123.0,2.07,2.03,0.04,2.04
16,17.0,15.0,Indiana,6754953.0,6483802.0,4.2,271151.0,9.0,2.07,614087.0,750550.0,720422.0,2.03,2.07,-0.04,2.04
17,18.0,18.0,Missouri,6151548.0,5988927.0,2.7,162621.0,8.0,1.84,615155.0,768944.0,748616.0,1.85,1.91,-0.07,1.86
18,19.0,19.0,Maryland,6055802.0,5773552.0,4.9,282250.0,8.0,1.84,605580.0,756975.0,721694.0,1.82,1.85,-0.03,1.86
19,20.0,20.0,Wisconsin,5832655.0,5686986.0,2.6,145669.0,8.0,1.84,583266.0,729082.0,710873.0,1.75,1.82,-0.07,1.86
20,21.0,22.0,Colorado,5807719.0,5029196.0,15.5,778523.0,7.0,1.61,645302.0,829674.0,718457.0,1.74,1.61,0.14,1.67
21,22.0,21.0,Minnesota,5657342.0,5303925.0,6.7,353417.0,8.0,1.84,565734.0,707168.0,662991.0,1.7,1.7,0.0,1.86
22,23.0,24.0,South Carolina,5218040.0,4625364.0,12.8,592676.0,7.0,1.61,579782.0,745434.0,660766.0,1.57,1.48,0.09,1.67
23,24.0,23.0,Alabama,4921532.0,4779736.0,3.0,141796.0,7.0,1.61,546837.0,703076.0,682819.0,1.48,1.53,-0.05,1.67
24,25.0,25.0,Louisiana,4645318.0,4533372.0,2.5,111946.0,6.0,1.38,580665.0,774220.0,755562.0,1.39,1.45,-0.05,1.49
25,26.0,26.0,Kentucky,4477251.0,4339367.0,3.2,137884.0,6.0,1.38,559656.0,746209.0,723228.0,1.34,1.39,-0.04,1.49
26,27.0,27.0,Oregon,4241507.0,3831074.0,10.7,410433.0,5.0,1.15,605930.0,848301.0,766215.0,1.27,1.22,0.05,1.3
27,28.0,28.0,Oklahoma,3980783.0,3751351.0,6.1,229432.0,5.0,1.15,568683.0,796157.0,750270.0,1.2,1.2,-0.0,1.3
28,29.0,30.0,Connecticut,3557006.0,3574097.0,-0.5,-17091.0,5.0,1.15,508144.0,711401.0,714819.0,1.07,1.14,-0.07,1.3
29,30.0,35.0,Utah,3249879.0,2763885.0,17.6,485994.0,4.0,0.92,541647.0,812470.0,690971.0,0.98,0.88,0.09,1.12
30,31.0,29.0,Puerto Rico,3189068.0,3725789.0,–‍14.4%,-536721.0,1.0,,—,3193694.0,3725789.0,0.96,1.19,-0.23,—
31,32.0,31.0,Iowa,3163561.0,3046355.0,3.8,117206.0,4.0,0.92,527260.0,790890.0,761589.0,0.95,0.97,-0.02,1.12
32,33.0,36.0,Nevada,3138259.0,2700551.0,16.2,437708.0,4.0,0.92,523043.0,784565.0,675138.0,0.94,0.86,0.08,1.12
33,34.0,33.0,Arkansas,3030522.0,2915918.0,3.9,114604.0,4.0,0.92,505087.0,757631.0,728980.0,0.91,0.93,-0.02,1.12
34,35.0,32.0,Mississippi,2966786.0,2967297.0,-0.0,-511.0,4.0,0.92,494464.0,741697.0,741824.0,0.89,0.95,-0.06,1.12
35,36.0,34.0,Kansas,2913805.0,2853118.0,2.1,60687.0,4.0,0.92,485634.0,728451.0,713280.0,0.87,0.91,-0.03,1.12
36,37.0,37.0,New Mexico,2106319.0,2059179.0,2.3,47140.0,3.0,0.69,421264.0,702106.0,686393.0,0.63,0.66,-0.03,0.93
37,38.0,39.0,Nebraska,1937552.0,1826341.0,6.1,111211.0,3.0,0.69,387510.0,645851.0,608780.0,0.58,0.58,-0.0,0.93
38,39.0,40.0,Idaho,1826913.0,1567582.0,16.5,259331.0,2.0,0.46,456728.0,913457.0,783791.0,0.55,0.5,0.05,0.74
39,40.0,38.0,West Virginia,1784787.0,1852994.0,-3.7,-68207.0,3.0,0.69,356957.0,594929.0,617665.0,0.54,0.59,-0.06,0.93
40,41.0,41.0,Hawaii,1407006.0,1360301.0,3.4,46705.0,2.0,0.46,351752.0,703503.0,680151.0,0.42,0.43,-0.01,0.74
41,42.0,43.0,New Hampshire,1366275.0,1316470.0,3.8,49805.0,2.0,0.46,341569.0,683168.0,658235.0,0.41,0.42,-0.01,0.74
42,43.0,42.0,Maine,1350141.0,1328361.0,1.6,21780.0,2.0,0.46,337535.0,675071.0,664181.0,0.41,0.42,-0.02,0.74
43,44.0,45.0,Montana,1080577.0,989415.0,9.2,91162.0,1.0,0.23,360192.0,1080577.0,989415.0,0.32,0.32,0.01,0.56
44,45.0,44.0,Rhode Island,1057125.0,1052567.0,0.4,4558.0,2.0,0.46,264281.0,528563.0,526284.0,0.32,0.34,-0.02,0.74
45,46.0,46.0,Delaware,986809.0,897934.0,9.9,88875.0,1.0,0.23,328936.0,986809.0,897934.0,0.3,0.29,0.01,0.56
46,47.0,47.0,South Dakota,892717.0,814180.0,9.6,78537.0,1.0,0.23,297572.0,892717.0,814180.0,0.27,0.26,0.01,0.56
47,48.0,49.0,North Dakota,765309.0,672591.0,13.8,92718.0,1.0,0.23,255103.0,765309.0,672591.0,0.23,0.21,0.01,0.56
48,49.0,48.0,Alaska,731158.0,710231.0,2.9,20927.0,1.0,0.23,243719.0,731158.0,710231.0,0.22,0.23,-0.01,0.56
49,50.0,51.0,District of Columbia,712816.0,601723.0,18.5,111093.0,1.0,—,237605.0,—,—,0.21,0.19,0.02,0.56
50,51.0,50.0,Vermont,623347.0,625741.0,-0.4,-2394.0,1.0,0.23,207782.0,623347.0,625741.0,0.19,0.2,-0.01,0.56
51,52.0,52.0,Wyoming,582328.0,563626.0,3.3,18702.0,1.0,0.23,194109.0,582328.0,563626.0,0.17,0.18,-0.01,0.56
52,53.0,53.0,Guam,168485.0,159358.0,5.7,9127.0,1.0,—,—,—,—,0.05,0.05,-0.0,—
53,54.0,54.0,U.S. Virgin Islands,106235.0,106405.0,-0.2,-170.0,1.0,—,—,—,—,0.03,0.03,-0.0,—
54,55.0,56.0,Northern Mariana Islands,51433.0,53883.0,-4.5,-2450.0,1.0,—,—,—,—,0.02,0.02,-0.0,—
55,56.0,55.0,American Samoa,49437.0,55519.0,-11.0,-6082.0,1.0,—,—,—,—,0.01,0.02,-0.0,—
