,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd
bitcoin,18706187.0,21000000.0,1041672882981.79,27763581607.125412,55686.00821652163
bitcoin-cash,18733300.0,21000000.0,25241112067.16027,1801923317.7277539,1347.392721365711
binance-coin,153432897.0,170532785.0,98179395546.3198,2978517542.084012,639.884910380854
dogecoin,129545137244.72404,0.0,61028876881.022026,9434367206.055656,0.4711012561261348
ethereum,115820533.0615,0.0,461381168257.5673,27797688221.642967,3983.5869863642984
ethereum-classic,116313299.0,210700000.0,12281267605.446991,3211243147.812191,105.58781937263245
litecoin,66752414.51538747,84000000.0,24367874287.393635,4896682560.322902,365.048582351676
monero,17906483.39641155,0.0,8055875325.796266,194633085.21679884,449.88595177826255
stellar,23083757456.218586,50001806812.0,15839579498.13607,1914237542.9359646,0.68617856205507
tether,55791494297.80168,0.0,55885838408.46399,74083575683.5544,1.0016910124356722
